Binder Walter;Die Bewertung von Anteilen an Kapitalgesellschaften;0;15;Druckerzeugnis;38105;Institut für Finanzwissenschaft und Steuerrecht, Nr. 98;Separata;PJ Sep. 02;Wien;Insitut für Finanzwissenschaft und Steuerrecht;1977;0;PJ;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensteuer;0
Senn Marcel;Methode und Recht;3 7255 3887 5;S. 103-114;Druckerzeugnis;37960.35486;In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag;Haupt-Bibliothek;-;Zürich;Schulthess Polygraphischer Verlag;-;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Thieme Werner;Steuerung von Eigenbetrieben;3-923725-11-6;98;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;EF 175;Hamburg;W. Mauke Söhne;1988;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Barth Kuno;Die Bewertung von Anteilen an Kapitalgesellschaften für Zwecke der Vermögensteuer;-;345;Druckerzeugnis;38105.51181;insbesondere von an der Börse nichtnotierten Werten mit Hinweisen auf das österreichische und schweizerische Recht Schriftenreihe Der Betrieb;Haupt-Bibliothek;PJ 205;Düsseldorf;Handelsblatt;1974;0;PJ;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensteuer;0
Knies Wolfgang;Steuerzweck und Steuerbegriff;3 406 02714 8;185;Druckerzeugnis;37960.35486;Eine dogmengeschichtliche und kompetenzrechtliche Studie Steuerrecht im Rechtsstaat, Wissenschaftliche Hefte zum Deutschen und Internationalen Steuerrecht, Heft 14;Haupt-Bibliothek;JA 120;München;C.H. Beck'sche Verlagsbuchhaltung;1976;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Elcock Howard;Strategic Management;0-333-56292-5;55-77;Druckerzeugnis;37960.35486;In: Farnham- David- Horton- Silvia: Managing the New Public Services;Haupt-Bibliothek;-;Houndmills, Basingstoke, Hampshire and London;The Macmillan Press Ltd.;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Niessen Hans-Joachim/Ollmann Rainer;Schattenwirtschaft in der BRD;3.8100.0592.4;229;Druckerzeugnis;38322;Eine empirische Bestandsaufnahme der sozialen und räumlichen Verteilung schattenwirtschaftlicher Aktivitäten;Haupt-Bibliothek;AJ 337;Opladen;Leske + Budrich;1987;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Pethig Rüdiger;Das Freifahrerproblem in der Theorie der öffentlichen Güter;3.428.04240.9;75-100;Druckerzeugnis;37960.35486;In: Helmstädter Ernst (Hrsg.): Neuere Entwicklungen in den Wirtschaftswissenschaften;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Gentile Pierre/Kissling-Näf Ingrid/Marek Daniel;Politikorientierte Lernprozesse;131;35;Druckerzeugnis;38099;Analysekonzept zur empirischen Erhebung im Feld;Haupt-Bibliothek;WD 229;Lausanne;l'Idheap;1994;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Gerber Beat;Probleme zunehmender Staatsschulden;0;50;Druckerzeugnis;37960.35486;0;Separata;DA Sep. 13;Basel;Internat. Treuhand AG;1980;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Webb Michael G.;Pricing Policies for Public Enterprises;SBN 333 18939 6;91;Druckerzeugnis;38360;0;Haupt-Bibliothek;EF 156;London;Macmillan Press Ltd.;1976;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Kieser Alfred;Organisationstheoretische Ansätze;3.8006.0779.4;272;Druckerzeugnis;38300;0;Haupt-Bibliothek;WA 324;München;Franz Vahlen;1981;0;YP;0;0;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;0
Kühne Karl;Zur ökonomischen Theorie der Bürokratie;3.428.04240.9;609-632;Druckerzeugnis;37960.35486;In: Helmstädter Ernst (Hrsg.): Neuere Entwicklungen in den Wirtschaftswissenschaften;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Rivier Jean-Marc;Le Régime Fiscal des Opérations Fiduciaires;0;0;Druckerzeugnis;38105;in: Les Opérations Fiduciaires, S. 162 ff.;Separata;PJ Sep. 05;Paris;Feduci;1985;0;PJ;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensteuer;0
IFSt;IFSt-Heft 115;-;97;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;Z 152 115;Köln;Druck + Verlagshaus Wienand;1977;0;Z;0;0;Zeitschriften;0;0
Lüder Klaus;The 'Contingency Model' Reconsidered: Experiences from Italy-Japan and Spain;3.258.04888.6;42736;Druckerzeugnis;37960.35486;In: Buschor-Ernst- Schedler-Kuno (Editors)- und andere: Perspectives on Performance Measurement and Public Sector Accounting;Haupt-Bibliothek;-;Bern und andere;Paul Haupt;-;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Mackscheidt Klaus;Öffentliche Güter und Ausgabeninzidenz;3.428.03618.2;S. 59 bis 129;Druckerzeugnis;37960.35486;In: Dreissig-Wilhelmine (Hrsg.): Öffentliche Finanzwirtschaft und Verteilung IV;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Allen R. G. D.;Mathematische Wirtschaftstheorie;0;979;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;AA 232;Berlin;Duncker & Humblot;1971;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Bartosch Josef;Gewerbesteuer (GewStG 1953);-;221;Druckerzeugnis;38105.54375;Steuerrechtliche Schriftenreihe des Instiutes für Finanzrecht an der Hochschule für Welthandel in Wien, Bd. 5;Haupt-Bibliothek;PR 304;Eisenstadt;Prugg Verlag;1973;0;PR;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Uebrige direkte Steuern;0
Lowe Adolph;Politische Ökonomik;0;360;Druckerzeugnis;38097;0;Haupt-Bibliothek;AK 0151;Frankfurt/Wien;Europäische Verlagsanstalt/Europa Verlag;1965;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Lampert Heinz;Leitbild und Zielsystem der Sozialpolitik im 'entwickelten gesellschaftlichen System des Sozialismus' in der DDR;3.428.02934.8;101-163;Druckerzeugnis;37960.35486;In: Sanmann-Horst (Hrsg.): Leitbilder und Zielsysteme der Sozialpolitik;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Oesterle Beat;Regionale Kaufkraft und Kaufkraftströme Ihr Einfluss auf die Orts--Regional- und Landesplanung;0;209;Druckerzeugnis;38360;Dissertation HSG, Nr. 374;Haupt-Bibliothek;AJ 176;Bern;Herbert Lang & Cie AG;1970;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Direktion der öffentlichen Bauten des Kantons Zürich;Massnahmenplan Lufthygiene: Bericht;0;185;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;AJ 349 1;Zürich;Staatskanzlei;1989;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Fink Christian;Soziologische und wirtschaftliche Aspekte des Massentourismus unter besonderer Berücksichtigung schweizerischer Verhältnisse;0;217;Druckerzeugnis;38308;Dissertation HSG, Nr. 366, 1970;Haupt-Bibliothek;AJ 174;Bern;Paul Haupt;1970;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Klein Franz;Lexikon des Rechts - Steuer- und Finanzrecht;3 472 00136 4;626;Druckerzeugnis;37960.35486;2. A.;Internet;JB 128;Neuwied;Hermann Luchterhand Verlag GmbH & Co. KG;1993;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Robinson J. N.;Planning and Forecasting Techniques;0.297.99524.4;159;Druckerzeugnis;37960.35486;An introduction to macroeconomic applications;Haupt-Bibliothek;AE 165;London;Weidenfeld & Nicolson;1972;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Wysocki Josef;Staatsverschuldung in Österreich 1945-1985;3.428.06698.7;57-75;Druckerzeugnis;37960.35486;In: Petzina-Dietmar (Hrsg.): Probleme der Finanzgeschichte des 19. und 20. Jahrhunderts;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Schmähl Winfried;Einkommensumverteilung im Rahmen von Einrichtungen der sozialen Sicherung;3.428.03891.6;519-576;Druckerzeugnis;37960.35486;In: Külp-Bernhard- Haas-Heinz-Dieter (Hrsg.): Soziale Probleme der modernen Industriegesellschaft;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;1977;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Berthold Norbert/Külp Bernhard;Regelgebundene Rentenanpassung als Mittel zur langfristigen Sanierung der Gesetzlichen Rentenversicherung;3.428.05545.4;204;Druckerzeugnis;38322;0;Haupt-Bibliothek;AF 204;Berlin;Duncker & Humblot;1984;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Meyer Ulrich/Schumann Jochen;Ansätze zur Weiterentwicklung des dynamischen Input-Output-Modells;3.428.04240.9;799-812;Druckerzeugnis;37960.35486;In: Helmstädter Ernst (Hrsg.): Neuere Entwicklungen in den Wirtschaftswissenschaften;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Fitzgerald E. V. K.;Public Sector Investment Planning for Developing Countries;0.333.22627.5;200;Druckerzeugnis;38236;0;Haupt-Bibliothek;AK 0542;London;The Macmillan Press;1978;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Busson Terry;The Need for Program and Performance Evaluation in Local Government;0-313-25953-4;41699;Druckerzeugnis;37960.35486;In: Busson-Terry- Coulter-Philip: Policy Evaluation for Local Government;Haupt-Bibliothek;-;New York und andere;Greenwood Press;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Remberg Meinhard;Steuerbelastungsvergleich Deutschland-Schweiz;0;88;Druckerzeugnis;37960;0;Haupt-Bibliothek;KA 325;Zürich;Handelskammer Deutschland-Schweiz;1990;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Schoenenberger Christian;Die Verschuldung der Gemeinwesen im EWR-Vergleich;0;45-62;Druckerzeugnis;37960.35486;In: Eng- Franz- Glatthard- Alexander- Koenig- Beat H.: Schuldenproblematik der öffentlichen Haushalte;Haupt-Bibliothek;-;Bern;Emissionszentrale der Schweizer Gemeinden;-;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Gray Andrew/Kinnock Neil/u.a.;Public Money & Management;954.0962;52;Druckerzeugnis;37960.35486;Integrating Theory and Practice in Public Management;Haupt-Bibliothek;EA 290;Oxford;Blackwell Publishers;1997;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Ezz Adel;Problems of Social Insurance and Social Relief in Egypt (U.A.R.);0;168;Druckerzeugnis;37960.35486;Dissertation der Handels-Hochschule St.Gallen, Nr. 165;Haupt-Bibliothek;AF 105;Winterthur;P. G. Keller;1962;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Bosworth Barry P.;Tax Incentives and Economic Growth;0.8157.1036.4;203;Druckerzeugnis;37874;0;Haupt-Bibliothek;CA 231;Washington;The Brookings Institution;1984;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Ganz Werner;Abschreibung und Substanzerhaltung;0;143;Druckerzeugnis;38105.59028;Die Finanzierungswirkung der bilanziellen Abschreibung und die steuerbilanzielle Sicherung der Erhaltung der Anlagensubstanz- insbesondere bei steigenden Anlagenbeschaffungspreisen Diss. Nr. 175 der HSG;Haupt-Bibliothek;PE 0401;Winterthur;P.G. Keller;1963;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
IBFD;Taxation of Intercompany Dividends under Tax Treaties and EU Law;978-90-8722-139-3;1050;Druckerzeugnis;41197.51389;EC and International Tax Law Series, Vol. 8- edited by Guglielmo Maisto;HB Steuerrecht;LC 0513;Amsterdam;IBFD;2012;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
EG-Kommission;Rechnungshof: Jahresbericht zum Haushaltsjahr 1987 zusammen mit den Antworten der Organe;0;313;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;FB 157;Luxembourg;EG;1988;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
IFSt;IFSt-Heft 047;-;74;Druckerzeugnis;38105.57569;0;Haupt-Bibliothek;Z 152 047;Bonn;Stollfuss;1957;0;Z;0;0;Zeitschriften;0;0
Epiney Astrid/Gammenthaler Nina/Hochreutener Inge;Marktzugang in der EU und in der Schweiz;978-3-7255-5665-6;187;Druckerzeugnis;41201.70903;Zur grenzüberschreitenden Mobilität von Personen und Unternehmen im EU-Recht und dem Personenfreizügigkeitsabkommen- Forum Europarecht, Bd. 13;Haupt-Bibliothek;KA 195;Zürich;Schulthess Verlag;2008;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Michalski Wolfgang;Die Zukunft beginnt nicht erst morgen;3.492.01987.0;38-57;Druckerzeugnis;37960.35972;In: Glagow-Manfred (Hrsg.): Umweltgefährdung und Gesellschaftssystem, S. 38 ff.;Haupt-Bibliothek;-;München;Piper & Co. Verlag;-;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Grabow Busso/Henckel Dietrich/Hollbach-Grömig Beate;Weiche Standortfaktoren;3-17-013734-4;407;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AJ 383 2;Stuttgart / Berlin / Köln;W. Kohlhammer GmbH / Deutscher Gemeindeverlag;1995;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Bahl Roy W.;The Taxation of Urban Property in Less Developed Countries;0.299.07860.4;283;Druckerzeugnis;37960.35972;Proceedings of a Symposium at the Lincoln Institute, Cambridge, Massachusetts, 1976;Haupt-Bibliothek;AK 0551;Madison;The University of Wisconsin Press;1979;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Butz Wolfgang;Zum Äquivalenzproblem in der Rentenversicherung;3.602.24786.4;35;Druckerzeugnis;38360;0;Separata;AF Sep. 26;Köln;Deutscher Instituts-Verlag;1980;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
OECD;The State of the Environment;92-64-13442-5;297;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AJ 358;Paris;OECD;1991;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Swisslex;Swisslex - Online;-;-;Online-Publikation;37960.35972;Zugang über https://www.swisslex.ch/ Swisslex-Operatoren: s. IFF/Verschiedenes/Bibliothek/Benutzerhinweise;Internet;-;Zürich;Swisslex;online;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
OCDE;Valeurs et perspectives;0;56;Druckerzeugnis;37960.35972;0;Separata;EG Sep. 08;Paris;OECD;1992;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Soell Hermann;"Subvention oder Sonderabschreibung?";3.503.01154.4.;68;Druckerzeugnis;38360;Überlegungen zur staatlichen Anpassungsförderung im Umweltschutz;Haupt-Bibliothek;BC 224;Berlin;Erich Schmidt Verlag;1975;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Grefe Cord;Zweckbindungsinstrumente steuerlicher Investitionshilfen;3.87144.607.6;281;Druckerzeugnis;38331;Kritische Analyse von Prosperitätsklauseln, Verlustklauseln, Entnahme- bzw. Ausschüttungssperren und Bindungsfristen;Haupt-Bibliothek;AH 185;Frankfurt;Harri Deutsch;1981;0;YV;0;0;Wirtschaftswissenschaften;Arbeitnehmerfragen (Labor Economics);0
Crombie D.L.;A Model of the Medical Care System: A General Systems Approach;0.04.330213.0;61 bis 102;Druckerzeugnis;37960.35972;In: Hauser M.M. (Hrsg.): The Economics of Medical Care;Haupt-Bibliothek;-;London;George Allen and Unwin Ltd.;-;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Gough Ian;The Political Economy of the Welfare State;0.333.21582.6 0.333.21599.0 (Pbk);170;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AF 136;London;The Macmillan Press Ltd.;1979;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Levy M. E.;French Studies on Health Economics: A Survey;0.04.330213.0;269 bis 279;Druckerzeugnis;37960.35972;In: Hauser M.M. (Hrsg.): The Economics of Medical Care;Haupt-Bibliothek;-;London;George Allen and Unwin Ltd.;-;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Eurostat;Trends in the Public Finances of the Member States (1970-1981);92.825.3195.3;175;Druckerzeugnis;37960.35972;Studies of national accounts - Nr. 3;Haupt-Bibliothek;AE 175;Luxemburg;Europäische Gemeinschaften;1983;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Klages Helmut;Wie sieht die Verwaltung der Zukunft aus?;0;7;Druckerzeugnis;38360;0;Separata;EF Sep. 32;Köln;0;1995;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
EG-Kommission;Vorschlag für eine Richtlinie des Rates;0;46;Druckerzeugnis;37960.35972;#NAME?;Separata;AF Sep. 28;Brüssel;EG;1990;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
EG-Kommission;Vergleichende Darstellung der Systeme der Sozialen Sicherheit in den Mitgliederstaaten der europäischen Gemeinschaften;0;84;Druckerzeugnis;37960.35972;1. Allgemeines System;Separata;AF Sep. 19;0;0;1970;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Körner Werner;Richtig und vorteilhaft abschreiben;0;148;Druckerzeugnis;38105.66389;Darstellung aller steuerlichen Abschreibungsmöglichkeiten mit Beispielen und Tabellen 3. A.;Haupt-Bibliothek;PE 0425;Ludwigshafen (Rhein);Friedr. Kiehl Verlag;1971;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Buchanan James M./Flowers Marilyn R.;The Public Finances;0.256.01633.X;498;Druckerzeugnis;37960.35972;An introductory Textbook- 4. A.;Haupt-Bibliothek;AA 252;Homewood;Richard D. Irwin Inc.;1975;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Doppmann Reto/Graf Silvio/Jans Armin;Versetzen staatliche Wettbewerbsbehinderungen Schweizer Firmen ins europäische Abseits?;0;92;Druckerzeugnis;37960.35972;Ergebnisse einer Umfrage in sieben Branchen;Haupt-Bibliothek;AK 0469;Bern;Bundesamt für Konjunkturfragen;1991;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Keith Richard L./McHugh Joseph A.;Valuing Massachusetts' Fixed Assets: A Contemporary Solution to an Historical Problem;0;S 102 ff.;Druckerzeugnis;38097;0;Separata;VF Sep. 07;0;0;1993;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Buchanan James M.;The Public Finances;0;570;Druckerzeugnis;37960.35972;An Introductory Textbook;Haupt-Bibliothek;AA 128;Homewood, Illinois;Richard D. Irwin, Inc.;1965;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Peacock Alan;The Regulation Game;0.631.13785.8;159;Druckerzeugnis;38236;How British and West German Companies Bargain with Government;Haupt-Bibliothek;AK 0444;Oxford;Basil Blackwell;1984;0;YR;0;0;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;0
Regul Rudolf/Boeynants Vanden/andere;The budget today;0;576;Druckerzeugnis;37960.35972;Public finance and the market economy in affluent societies;Haupt-Bibliothek;AA 141;Brudges;De Tempel, Tempelhof;1968;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
EC Commission;Studies on the Economics of Integration;92.825.8616.2;652;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;FB 158 2;Brüssel;EG;1988;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Kleps Karlheinz;Wohnungsmarktpolitik in der Schweiz;0;437;Druckerzeugnis;37960.35972;Grundlagen und Grundzüge einer rationalen wohnungsmarktpolitischen Konzeption;Haupt-Bibliothek;AK 0408;Bern und Stuttgart;Verlag Paul Haupt;1969;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Ritschl Hans;Theorie der Staatswirtschaft und Besteuerung;0;231;Druckerzeugnis;37960.35972;0;Haupt-Bibliothek;AA 169;Bonn-Leipzig;Kurt Schroeder;1925;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Hinterberger Friedrich;Hayek-Selbstorganisation und Evolution;3-89518-083-1;245-270;Druckerzeugnis;37960.35972;Theoretische Überlegungen und politische Schlussfolgerungen In: Priddat-Birger- Wegner-Gerhard (Hrsg.): Zwischen Evolution und Institution;Haupt-Bibliothek;-;Marburg;Metropolis;-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Monissen Hans G.;Externalitäten und ökonomische Analyse;3.16.343161.5 3.16.343162.3;342-377;Druckerzeugnis;37960.35972;In: Streissler Erich/Watrin Christian (Hrsg.): Zur Theorie marktwirtschaftlicher Ordnungen;Haupt-Bibliothek;-;Tübingen;J. C. B. Mohr (Paul Siebeck);-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Rosen Josef;Zahlungsumsatz und Sozialprodukt 1946-1966;0;109;Druckerzeugnis;37960.35972;Berechnungen für sieben Länder sowie für die Kantone der Schweiz;Haupt-Bibliothek;AE 108;Basel;Buckdruckerei VSK;1967;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Eng Franz/Glatthard Alexander/Koenig Beat;Was bringt uns NPM?;0;124;Druckerzeugnis;38322;0;Haupt-Bibliothek;EF 235;Bern;Emissionszentrale;1996;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Saitzew M.;Die Heimfallabschreibungen und ihre steuerliche Behandlung;0;59;Druckerzeugnis;38105.67639;Gutachten erstattet der Nordostschweizerische Kraftwerke A.-G.;Haupt-Bibliothek;PE 0437;Zürich;Orell Füessli;1948;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Goldman Mashall I.;Umweltzerstörung und Umweltvergiftung in der Sowjetunion;3.492.01987.0;73-94;Druckerzeugnis;37960.35972;In: Glagow-Manfred (Hrsg.): Umweltgefährdung und Gesellschaftssystem, S. 73 ff.;Haupt-Bibliothek;-;München;Piper & Co. Verlag;-;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Ballarini Klaus;Theorien der Gewinnsteuerüberwälzung;3.16.344529.2;164;Druckerzeugnis;37874;0;Haupt-Bibliothek;CA 221;Tübingen;J. C. B. Mohr (Paul Siebeck);1982;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Böhret Carl/Siedentopf Heinrich;Verwaltung und Verwaltungspolitik;3 428 05307 9;336;Druckerzeugnis;38322;Schriftenreihe der Hochschule Speyer;Haupt-Bibliothek;EA 197;Berlin;Duncker & Humblot;1983;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
