Flick Hans;Wassermeyer Franz;Baumhoff Hubertus;Aussensteuerrecht;Bd. III;0;0;3-504-26041-6;;Loseblattwerk;Kommentar;KB 308 3;KÃ¶ln;Otto Schmidt;2017;iff_doc_missing;CSV line 1;155189379;0;0;;;
Okun A.;0;0;Consensus and Controversy in Political Economy;0;0;0;0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth);37-54;Druckerzeugnis;In: Amacher Ryan C./Tollison Robert D: The Economic Approach to Public Policy;;London;Cornell University;;leave;996722;;;;;;
Sheldon George;0;0;Zur Dynamik der Armut in der Schweiz;0;0;0;0;37;Druckerzeugnis;Eine Untersuchung beruhend auf der Einkommensentwicklung männlicher Erwerbspersonen;AF 151;Basel;Forschungsstelle für Arbeitsmarkt- und Industrieökonomie (FAI);1991;replacefromSwissbib;996731;276118081;0;0;https://www.swissbib.ch/Record/276118081;;
Kirchhof Paul;0;0;Umweltschutz im Abgaben- und Steuerrecht;0;0;0;3 504 62016 1;218;Druckerzeugnis;0;KB 139;Köln;Otto Schmidt;1993;HSB01duplicate;996739;67682;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=67682;;
Bretzinger Otto N.;0;0;Verwaltungsfachkunde I;0;0;0;3-7890-2564-X;261;Druckerzeugnis;Allgemeines Staatsrecht- Staatsrecht der Bundesrepublik Deutschland- Verwaltungsrechtliche Grundbegriffe- Verwaltungsverfahrensrecht- Verwaltungsrechtlicher Rechtsschutz- Verwaltungsvollstreckungsrecht- 3. A.;EA 242 1;Baden-Baden;Nomos;1992;leave;996746;;;;;;
Mettler Hans Jörg;0;0;Zentralismus oder Regionalisierung? Dargestellt am Beispiel der Gewässerpolitik im Kontext der Staats- und Verwaltungsreformen West-Europas;0;0;0;0;474;Druckerzeugnis;Dissertation der HSG, Nr. 741;AJ 275;Bern;Peter Lang;1979;bestcase;58720;;;;;;
Peacock Alan;Shaw G. K.;0;The Economic Theory of Fiscal Policy;0;0;0;0.04.330273.4;177;Druckerzeugnis;0;AA 268;London;George Allen & Unwin;1976;HSB01duplicate;996759;361732;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=361732;;
Zimmermann Fritz;0;0;Währungen und Inflation (2. Nachtrag);0;0;0;0;14-;Druckerzeugnis;0;AK Sep. 333;0;Der Schweizer Treuhänder;1971;notfound;;;;;;;
Hösli Madeleine;0;0;Teilnahme am EWR oder EG-Beitritt;Entwicklungen in der EG und ihre Rückwirkungen auf die integrationspolitischen Optionen der Schweiz;0;0;3.7253.0460.2;197;Druckerzeugnis;Dissertation der HSG, Nr. 1373, 1992;FB 181;Chur;Rüegger;1992;bestcase;51599;;;;;;
Bater Paul;0;0;The Tax Treatment of Cross-Border Donations;0;0;0;90-70125-74-9;;Druckerzeugnis;ursprünglich Loseblattwerk- including The Tax Status of Charities and Foundations;LC 0195;Amsterdam;IBFD;1999;leave;996782;;;;;;
Rosen Harvey S.;0;0;The Fiscal Behavior of State and Local Governments;0;0;0;1 85898 654 0;349;Druckerzeugnis;Selected Papers of Harvey S. Rosen;AC 296;Cheltenham;Edward Elgar;1997;bestcase;160479;;;;;;
Furnham Adrian;Lewis Alan;0;The Economic Mind;0;0;0;0.7108.0285.4 0.7108.0223.4;255;Druckerzeugnis;The Social Psychology of Economic Behaviour;AK 1133;Brighton;Wheatsheaf Books;1986;HSB01duplicate;996797;201996;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=201996;;
Dölemeyer Hans-Joachim;0;0;Wechselbeziehungen zwischen Privat- und Steuerrecht in der schweizerischen Gesellschaftsrechtspraxis unter besonderer Berücksichtigung der wirtschaftlichen Betrachtungsweise;0;0;0;0;253;Druckerzeugnis;0;JD 325;Frankfurt;Vervielfältigung;1975;HSB01duplicate;996804;99544;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=99544;;
Raiffa Howard;0;0;The Art and Science of Negotiation;0;0;0;0.674.04812.1 0.674.04813.X;360;Druckerzeugnis;0;AK 1138;Cambridge;Harvard University;1982;HSB01duplicate;996812;184349;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=184349;;
Ham Christopher;Hill Michael;0;The Policy Process in the Modern Capitalist State;0;0;0;0.7108.0190.4;189;Druckerzeugnis;0;WD 185;Brighton;Wheatsheaf Books;1984;HSB01duplicate;996820;134805;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=134805;;
IFA;0;0;Visions of the Tax Systems of the XXIst century;0;0;0;90 411 474 7;90;Druckerzeugnis;Proceedings of a Symposium held in Geneva in 1996 during the 50th Congress of the International Fiscal Association IFA Congress Seminar Series, vol. 21d;KA 316;The Hague;Kluwer;1997;HSB01duplicate;996827;155912;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=155912;;
Erhard Ulrich;0;0;Zusätzliche Kapitalbildung durch Sparprämien?;0;0;0;0;138;Druckerzeugnis;Eine statistische Analyse;AH 113;Marburg;N. G. Elwert Verlag;1968;HSB01duplicate;996832;506548;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=506548;;
Hablützel P.;0;0;Die innovative Verwaltung;Ansätze und Erfahrungen aus dem EFFISTA-Projekt;0;0;0;55-72;Druckerzeugnis;In: Iselin-Georg (Hrsg.)- und andere: Von der Vollzugsbürokratie zum politischen Management;;Bern;SGVW;;replacefromSwissbib;996840;108860043;0;0;https://www.swissbib.ch/Record/108860043;;
Hanusch Horst;0;0;Theorie des öffentlichen Gutes;0;0;0;3.525.11304.8;173;Druckerzeugnis;Allokative und distributive Aspekte Abhandlungen zu den Wirtschaftlichen Staatswissenschaften;AC 173;Göttingen;Vandenhoeck & Ruprecht;1972;HSB01duplicate;996111;324071;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=324071;;
Rittenbruch Klaus;0;0;Zur Anwendbarkeit der Exportbasiskonzepte im Rahmen von Regionalstudien;0;0;0;0;131;Druckerzeugnis;0;AJ 134;Berlin;Duncker & Humblot;1968;replacefromSwissbib;996853;276098110;0;0;https://www.swissbib.ch/Record/276098110;;
EC Commission;0;0;The 'Cost of Non-Europe' in Public-Sector Procurement;0;0;0;92.825.8647.2;283;Druckerzeugnis;0;FB 158 5 2;Brüssel;EG;1988;HSB01duplicate;995952;996861;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=996861;;
Mueller D.;Tollison R.;Willett T.;Solving the Intensity Problem in Representative Democracy;0;0;0;0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth);444-475;Druckerzeugnis;In: Amacher-Ryan C- Tollison-Robert D: The Economic Approach to Public Policy;;London;Cornell University;;leave;996870;;;;;;
Völlmy Hans-Ulrich;0;0;Zur Geschichte des schweizerischen Papiergeldes;0;0;0;0;115;Druckerzeugnis;Dissertation;AB 102;Riehen;A. Schudel & Co.;1967;HSB01duplicate;996878;294095;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=294095;;
IFSt;0;0;IFSt-Heft 096;Bd. 4;0;0;-;86;Druckerzeugnis;0;Z 152 096.4;Bonn;Stollfuss;1975;journal;;;;;;;
Stiglitz J. E.;Massell Benton F.;0;The Effects of Income-Wealth and Capital Gains Taxation on Risk-Taking. Price Stabilization and Welfare;0;0;0;0;263- 284-;Druckerzeugnis;in: The Quarterly Journal of Economics- Vol. LXXXIII, Mai 1969, No. 2;CA 140;Cambridge;Harvard University;1969;leave;996890;;;;;;
IFA;0;0;Cahiers de Droit Fiscal International;Vol. LXXXVb (2000);0;0;90 411 1385 1;843;Druckerzeugnis;International-steuerrechtliche Fragen bei Gehaltsumwandlungen;LC 0301 085.2;The Hague;Kluwer;2000;journal;;;;;;;
Hartmann Beate;0;0;Die Spaltung von Kapitalgesellschaften nach neuem UmwStG in ertragsteuerrechtlicher und betriebswirtschaftlicher Sicht;0;0;0;3-631-32388-3;221;Druckerzeugnis;Europäische Hochschulschriften- Reihe V- Bd./Vol. 2212;KB 213;Frankfurt;Peter Lang;1997;reimportFromSwissbib;996901;271127619;Europäische Hochschulschriften- Reihe V- Bd./Vol. 2212;;https://www.swissbib.ch/Record/271127619;;
Mueller D.;Tollison R.;Willett T.;Representative Democracy via Random Selection;0;0;0;0-8014-9860-0 (paperback) 0-8014-0914-4 (cloth);381-393;Druckerzeugnis;In: Amacher-Ryan C- Tollison-Robert D: The Economic Approach to Public Policy;;London;Cornell University;;replacefromSwissbib;996910;451676564;0;0;https://www.swissbib.ch/Record/451676564;;
Strecker Heinrich;Wiegert Rolf;0;Fehler in statistischen Erhebungen. Darstellung anhand von Beispielen;0;0;0;3.922016.17.0;439-458;Druckerzeugnis;In: Mückl Wolfgang J., Ott Alfred E. (Hrsg.): Wirtschaftstheorie und Wirtschaftspolitik;;Passau;Passavia Universitätsverlag;;leave;996917;;;;;;
Benveniste Guy;0;0;The Politics of Expertise;0;0;0;0.87709.719.4;206;Druckerzeugnis;0;AJ 239;Berkeley;The Glendessary Press;1972;replacefromSwissbib;996925;147884152;0;0;https://www.swissbib.ch/Record/147884152;;
Klöti-Weber Marianne;Siegrist Dave;Weber Dieter;Kommentar zum Aargauer Steuergesetz;Bd. 1;0;0;3-85621-082-2;1104;Druckerzeugnis;2. A., Bd. 1: §§ 1 bis 111;JC 224 2.1;Muri;Cosmos;2004;HSB01duplicate;996933;282925;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=282925;;
Amonn Alfred;0;0;Gerechtigkeit und Zweckmässigkeit in der Besteuerung;0;0;0;-;Mär 14;Druckerzeugnis;in: Probleme der öffentlichen Finanzen und der Währung, Festgabe für Eugen Grossmann, S. 3 ff.;;Zürich;Polygraphischer Verlag;1949;replacefromSwissbib;996939;82957622;0;0;https://www.swissbib.ch/Record/082957622;;
Strunk Günther;Kolaschnik Frank;0;TransPuG und Corporate Governance Kodex;0;0;0;3 503 07072 9;212;Druckerzeugnis;Neue gesellschafts-, bilanz- und steuerrechtliche Anforderungen für die Unternehmenspraxis;KB 212;Berlin;Erich Schmidt;2003;leave;996944;;;;;;
Letsch Hans;0;0;Unorthodoxe Gedanken zur Verwaltungsreform;0;0;0;0;5;Druckerzeugnis;IFF-Sonderdruck;EF Sep. 06;St. Gallen;IFF;;leave;996952;;;;;;
Pirnat Karl;0;0;Dämon Steuer;0;0;0;-;242;Druckerzeugnis;Ein Leidensweg der Menschheit - 2. A.;OG 104;Wien;Georg Fromme & Co.;1956;replacefromSwissbib;996958;279567057;0;0;https://www.swissbib.ch/Record/279567057;;
Lampert Frank;0;0;Die Verlustverrechnung von juristischen Personen im Schweizer Steuerrecht;0;0;0;3-7190-1916-0;346;Druckerzeugnis;unter besonderer Berücksichtigung des DBG und StHG;PC 164 1;Basel;Helbing & Lichtenhahn;2000;bestcase;227021;;;;;;
Schmid Hans-Jürg;0;0;Die Gestaltung der Kapitalstruktur einer Publikums-Aktiengesellschaft unter steuerlichen Aspekten;0;0;0;0;244;Druckerzeugnis;Dissertation der Uni Zürich;PK 121;Zürich;Juris Druck und Verlag;1974;bestcase;188640;;;;;;
Jäger Hans-Joachim;0;0;Der Unternehmensstandort Schweiz aus der steuerlichen Sicht standortungebundener Unternehmen;0;0;0;-;355;Druckerzeugnis;Eine Bestandesaufnahme und Vergleich zu ausgewählten europäischen Ländern Dissertation Nr. 1819 der HSG;PA 109 1;Hallstadt;Rosch-Buch;1996;HSB01duplicate;999705;109581;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=109581;;
Schreuer Christoph;0;0;The World Bank/ICSID Dispute Settlement Procedures;0;0;0;-;579-582;Druckerzeugnis;In: Settlement of Disputes in Tax Treaty Law;;Wien;Linde;;leave;996981;;;;;;
Hulmák Milan;Sedmihradský Milan;0;Settlement of Disputes in Czech Tax Treaty Law;0;0;0;-;123-140;Druckerzeugnis;In: Settlement of Disputes in Tax Treaty Law;;Wien;Linde;;leave;996991;;;;;;
Aigner Hans-Jörgen;0;0;Qualifikationskonflikte beim Übergang von Anteilen an Personengesellschaften im ErbSt-Musterabkommen;0;0;0;-;103-124;Druckerzeugnis;In: Aigner-Dietmar Johannes- Aigner-Hans-Jörgen- Fellner-Karl-Werner- etc.: Erbschaftssteuern und Doppelbesteuerungsabkommen;;Wien;Linde;;leave;997001;;;;;;
Zuppinger Ferdinand;0;0;Zürcher Steuergesetze;Bd. I;0;0;0;0;Druckerzeugnis;Gesetz über die direkten Steuern, 3. A.;HA 201 5.1;Zürich;Schulthess;1987;notfound;;;;;;;
Maurer Beat;0;0;Kantonale Kompetenzen zur Wirtschaftsförderung;0;0;0;3-9520255-0-X;395;Druckerzeugnis;Die Kompetenzverteilung im Bereiche des Wirtschaftsverwaltungsrechtes unter besonderer Berücksichtigung der kantonalen Kompetenzen zur Wirtschaftsförderung aus bundesstaatlicher und völkerrechtlicher Sicht;PE 0182;Hasle;Verlag Beat Maurer;1992;bestcase;47578;;;;;;
Böckli Peter;0;0;Bankkundensteuern und Verfassung;0;0;0;-;100;Druckerzeugnis;Schweizer Schriften zum Handels- und Wirtschaftsrecht, Bd. 56;PP 105;Zürich;Schulthess;1981;bestcase;98138;;;;;;
Huber Willy;0;0;Das Recht des Bürgers auf Akteneinsicht im Verwaltungsverfahren. Unter besonderer Berücksichtigung der Verwaltungsverfahrensgesetze des Bundes und des Kantons Aargau;0;0;0;0;243;Druckerzeugnis;Dissertation Nr. 773 der HSG;MC 305;St. Gallen;Zehnder;1980;HSB01duplicate;997026;28062;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=28062;;
Bell Bruno;0;0;Die Problematik der Scheingewinnbesteuerung unter besonderer Berücksichtigung des schweizerischen Steuerrechts;0;0;0;-;126;Druckerzeugnis;Dissertation der Uni Freiburg, CH;PE 0389;Freiburg;Zentral-Verlag für Dissertationen Triltsch;1963;bestcase;126988;;;;;;
Leysinger Michael;0;0;444 Steuerabzüge und andere fiskalische Nettigkeiten;0;0;0;3-906732-10-X;351;Druckerzeugnis;In Zusammenarbeit mit CASH;JE 107 1;Solothurn;Legatax;2003;bestcase;290853;;;;;;
Amonn Kurt;Walther Fridolin;0;Grundriss des Schuldbetreibungs- und Konkursrechts;0;0;0;3-7272-0946-1;502;Druckerzeugnis;Siebente, überarbeitete und auf den neusten Stand der Gesetzgebung und der Rechtsprechung gebrachte Auflage;WB 178;Bern;Stämpfli;2003;bestcase;279134;;;;;;
Merz Renato;0;0;Sanierung von Pensionskassen;0;0;0;0;39;Druckerzeugnis;0;WD 253;Baden;0;2004;leave;997047;;;;;;
Milbach Frank;0;0;Die einheitliche Besteuerung von internationalen Unternehmen in den USA;0;0;0;3-7875-4215-9;124;Druckerzeugnis;International Finance Management, Bd. 11;LC 0672;Frankfurt;Metzner;1985;replacefromSwissbib;997056;20553130X;0;0;https://www.swissbib.ch/Record/20553130X;;
Finkelstein Philip;0;0;Real Property Taxation in New York City;0;0;0;0-275-09940-7;124;Druckerzeugnis;0;KC 115;New York;Praeger;1975;leave;997066;;;;;;
Gast Brigitte;0;0;Das Präjudiz als Rechtsquelle im Steuerrecht;0;0;0;0;528;Druckerzeugnis;In: Günther Felix (Hrsg.), Von der Auslegung und Anwendung der Steuergesetze, FS Armin Spitaler, S. 111 ff.;;Stuttgart;C. E. Poeschel;;leave;997073;;;;;;
ESTV;0;0;Wegleitung 1992 für Grossisten;0;0;0;0;171;Druckerzeugnis;0;QB 413;Bern;ESTV;1992;reimportFromSwissbib;997078;515929891;0;0;https://www.swissbib.ch/Record/515929891;;
Plagnet Bernard;Hénon Serge;0;Cas pratiques de fiscalité française;0;0;0;2.85.115.162.2;382;Druckerzeugnis;8. A.;KE 115;Paris;Editions Francis Lefebvre;1990;leave;997085;;;;;;
Douvier Pierre-Jean;0;0;Monaco Tax and Legal Guide;0;0;0;90 6544 595 1;155;Druckerzeugnis;Guide juridique et fiscal- adapted from Francis Lefebvre;KH 120;Deventer;Kluwer;1991;HSB01duplicate;997090;61673;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=61673;;
Peat Marwick Mitchell & Co.;0;0;Taxation in Malaysia;0;0;0;0;76;Druckerzeugnis;0;KL 108;0;PMM;1980;notfound;;;;;;;
Lusser Markus;0;0;Sind die Rahmenbedingungen des Finanzplatzes Schweiz noch attraktiv genung?;0;0;0;0;;Druckerzeugnis;in: Internationale Wettbewerbsfähigkeit des Finanzplatzes Schweiz, S. 25 ff.;;;;;leave;997104;;;;;;
Peat Marwick Mitchell & Co.;0;0;Taxation in Japan;0;0;0;0;64;Druckerzeugnis;0;KL 107;0;PMM;1979;notfound;;;;;;;
Friedrich-Ebert-Stiftung;0;0;Kommunale Finanzreform;0;0;0;0;0;Druckerzeugnis;Probleme des kommunalen Steuersystems , Schriftenreihe der Forschungsstelle der Friedrich-Ebert-Stiftung, S. 39 ff.;TD 110;Hannover;Verlag für Literatur und Zeitgeschehen;1962;bestcase;358330;;;;;;
Schulz Harald;0;0;Grundlagen und System der Einkommensbesteuerung;0;0;0;-;351;Druckerzeugnis;2. A.;PC 144;Herne;Neue Wirtschafts-Briefe;1979;leave;997127;;;;;;
OECD;0;0;Personal Income Tax Systems under Changing Economic Conditions;0;0;0;-;381;Druckerzeugnis;0;PC 152;Paris;OECD;1986;HSB01duplicate;997132;6287;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=6287;;
IFF;Ordre romand des experts fiscaux diplômés;0;Séminaire sur la taxation intermédiaire;23./24.1.1992 (Vol. 1);0;0;-;;Druckerzeugnis;Kursdokumentation;PB 203 1;Montreux;IFF;1992;replacefromSwissbib;997139;240470702;0;0;https://www.swissbib.ch/Record/240470702;;
Schmidt-Liebig Axel;0;0;'Gewerbe' im Steuerrecht. Eine Untersuchung zu Wort und Begriff;0;0;0;0;217;Druckerzeugnis;Dissertation der Universität des Saarlandes;PE 0155;Saarbrücken;Offset;1977;replacefromSwissbib;997145;284726605;0;0;https://www.swissbib.ch/Record/284726605;;
Eiche Hans;0;0;Internationale Steuern;Brasilien;0;0;-;46;Druckerzeugnis;0;KK 102;Mondorf;Titz Verlag;1957;journal;;;;;;;
Price Waterhouse & Co.;0;0;A Guide to taxation and other financial matters for the assistance of clients;0;0;0;0;93;Druckerzeugnis;Business Enterprises in the United Kingdom;KG 103;London;Price Waterhouse & Co.;1969;notfound;;;;;;;
IFA;0;0;Cahiers de Droit Fiscal International;Vol. LXVIa (1981);0;0;0;404;Druckerzeugnis;Das Verständigungsverfahren - Verfahren und praktische Handhabung;LC 0301 066.1;Deventer;Kluwer;1981;journal;;;;;;;
IFA;0;0;Cahiers de Droit Fiscal International;Vol. LXVIIa (1982);0;0;0;661;Druckerzeugnis;Die steuerliche Behandlung der Zinsen bei internationalen Wirtschaftsbeziehungen;LC 0301 067.1;Deventer;Kluwer;1982;journal;;;;;;;
Gambier Claude;Mercier Jean-Yves;0;Les impôts en France;0;0;0;0;614;Druckerzeugnis;0;KE 102;Paris;Ed. Francis Lefebre;1991;replacefromSwissbib;997187;212836005;0;0;https://www.swissbib.ch/Record/212836005;;
IBFD;0;0;International Tax Glossary;0;0;0;90-70125-85-4;356;Druckerzeugnis;3. A.;JA 161 1;Amsterdam;IBFD;1996;replacefromSwissbib;997194;428025528;0;0;https://www.swissbib.ch/Record/428025528;;
IFSt;0;0;IFSt-Heft 058;Bd. 2;0;0;-;42;Druckerzeugnis;0;Z 152 058.2;Bonn;Stollfuss;1962;journal;;;;;;;
Gilmour Arthur W.;0;0;Income Tax Handbook 1976-1977;0;0;0;-;877;Druckerzeugnis;25. A.;KJ 104;Toronto;Richard de Boo Ltd.;1977;leave;997211;;;;;;
Rüegg-Peduzzi Gabriella;0;0;Die Handänderungssteuer in der Schweiz;0;0;0;0;184;Druckerzeugnis;Dissertation der Uni Zürich;RC 106;Zürich;Zentralstelle der Studentenschaft;1989;bestcase;20888;;;;;;
Egger Rudolf;0;0;Das Subjekt der Kultussteuern in der Schweiz;0;0;0;-;216;Druckerzeugnis;Dissertation der Uni Bern;OB 401;Bern;Ernst Lang;1942;HSB01duplicate;997224;94815;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=94815;;
Weber Harald;0;0;Grundgesetz-Gesellschaftsrecht und die Besteuerung der selbständigen Unternehmen;Ein Beitrag zur Grossen Steuerreform .;0;0;0;475;Druckerzeugnis;Bd.1: Die Struktur der Gesellschafts- und Beteiligungsform Wirtschaftsrecht und Wirtschaftspolitik, Band 16;PE 0135;Frankfurt;Athenäum;1971;HSB01duplicate;997232;125795;Bd.1;Die Struktur der Gesellschafts- und Beteiligungsform Wirtschaftsrecht und Wirtschaftspolitik, Band 16;https://aleph.unisg.ch/F?func=direct&doc_number=125795;;
Brönner Herbert;0;0;Die Besteuerung der Gesellschaften;0;0;0;0;1099;Druckerzeugnis;12.A.;PE 0123;Stuttgart;Schäffer;1970;replacefromSwissbib;997239;71909850;0;0;https://www.swissbib.ch/Record/071909850;;
Lardelli Aldo;0;0;Die Steuerhoheit der Selbstverwaltungskörper im Kanton Graubünden;0;0;0;-;213;Druckerzeugnis;Dissertation der Uni Zürich;OB 404;Zürich;J. Weiss;1951;bestcase;97122;;;;;;
Maubach Peter;0;0;Die Verwirklichung des Äquivalenzprinzips durch die Gewerbesteuerzerlegung in Fällen der Betriebs- und Wohngemeindendivergenz;0;0;0;-;116;Druckerzeugnis;Disserttion der Uni Köln;OB 405;Köln;Fotodruck;1970;reimportFromSwissbib;997252;274400731;0;0;https://www.swissbib.ch/Record/274400731;;
Vallender Klaus A.;0;0;Schweizerisches Steuer-Lexikon;0;0;0;0;0;Druckerzeugnis;Nachschlagewerk für eidg. und kant. Steuern. Grundsätze der Einschätzungs-Praxis. Wichtige Steuerjustiz-Entscheide.;JA 105 I e;Zürich;Organisator;1989;journal;;;;;;;
Kirsten Walter;Matheja Kurt;0;Treuhand und Treuhänder im Steuerrecht;0;0;0;-;190;Druckerzeugnis;Steuerliche Treuhand, Treuhänderschaft und Organschaft 2. A.;PJ 501;Berlin;Neue Wirtschafts-Briefe;1978;HSB01duplicate;997260;262534;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=262534;;
Bürgenmeier Beat;Schönenberger Alain;Zarinnejadan Milad;Fiscalité et Investissement Privé en Suisse;0;0;0;-;246;Druckerzeugnis;Programme National de Recherche, No. 9;PJ 119;Genf;Editions Georg;1986;HSB01duplicate;997268;513;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=513;;
Wipfli Hans;0;0;Das aktuelle Steuerhandbuch;Bd. 2;0;0;3 297 28600 8;;Loseblattwerk;Allgemeiner Teil / Bund;JC 103 2;Zürich;Weka;2017;journal;;;;;;;
Meier-Hayoz Arthur;Forstmoser Peter;0;Grundriss des schweizerischen Gesellschaftsrechts;0;0;0;0;451;Druckerzeugnis;7.A.;WC 205;Bern;Stämpfli;1993;HSB01duplicate;997279;54928;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=54928;;
Stadlin Paul;0;0;Die Befreiung des Bundes von der kantonalen Steuerhoheit;0;0;0;-;270;Druckerzeugnis;Dissertation der Uni Zürich;OC 203;Zürich;J. Kündig;1943;bestcase;120762;;;;;;
Huttenlocher Loys;0;0;L'imposition des personnes morales en droit neuchâtelois;0;0;0;0;183;Druckerzeugnis;Diss. der Uni Neuchâtel;PK 125;La Chaux-de-Fonds;Imprimerie Courvoisier SA;1957;HSB01duplicate;997290;125865;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=125865;;
Trachsler Max;0;0;Die steuerpolitische Behandlung der Kapitalgesellschaften im zürcherischen Steuersystem;0;0;0;-;111;Druckerzeugnis;Dissertation der Uni Zürich;PK 109;Zürich;P. G. Keller;1954;bestcase;168846;;;;;;
EG;0;0;Amtsblatt der Europäischen Gemeinschaften 1969;1981;0;0;0;0;Druckerzeugnis;Rechtsvorschriften / Mitteilungen und Bekanntmachungen;FB Sep. 003;Luxemburg;Veröffentlichungsdienst EG;1981;journal;;;;;;;
Hodler Fredy;0;0;Die steuerliche Abgrenzung der juristischen Personen unter spezieller Berücksichtigung der Entwicklung im Kanton Zürich;0;0;0;0;111;Druckerzeugnis;Dissertation der Uni Zürich;PK 303;Zürich;0;1945;leave;997296;;;;;;
Hilty Thomas;0;0;Die Besteuerung geldwerter Leistungen;0;0;0;-;332;Druckerzeugnis;2. A., der Diss.-Nr. 1077 der Uni St.Gallen;PF 220 2;Entlebuch;Huber Druck AG;1990;iff_doc_missing;CSV line 828;276615018;0;0;;;
Vallender Klaus A.;0;0;Schweizerisches Steuer-Lexikon;0;0;0;0;0;Druckerzeugnis;Nachschlagewerk für eidg. und kant. Steuern. Grundsätze der Einschätzungs-Praxis. Wichtige Steuerjustiz-Entscheide.;JA 105 II b;Zürich;Organisator;1983;journal;;;;;;;
Dellmann Klaus;0;0;Bilanzierung nach neuem Aktienrecht;0;0;0;0;215;Druckerzeugnis;2.A.;PE 1030;Bern;Paul Haupt;1992;HSB01duplicate;997306;51677;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=51677;;
Helbling Carl;0;0;Provisions pour impôts au bilan;0;0;0;0;135;Druckerzeugnis;2.A. Schriftenreihe: Finanzwirtschaft und Finanzrecht Bd. 65;PE 0460 b;Bern;Haupt;1993;HSB01duplicate;997316;61474;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=61474;;
Schöne Wolf-Dieter;0;0;Die Besteuerung der Kapitalgesellschaften Ergebnissteuern/Substanzsteuern;0;0;0;0;194;Druckerzeugnis;Grunlagen und Praxis des Steuerrechts, Bd. 23;PK 164;Bielefeld;Erich Schmidt;1985;leave;997326;;;;;;
Junker Christoph;0;0;Steuerflucht und Basisunternehmen in England;0;0;0;-;269;Druckerzeugnis;Reihe: Europäische Hochschulschriften, Reihe II, Rechtswissenschaft, Bd. 290;LG 101;Frankfurt;Peter Lang;1982;bestcase;126603;;;;;;
Feger Wolfgang F.;0;0;Die Besteuerung der Kapitalgesellschaften im Fürstentum Lichtenstein;0;0;0;0;140;Druckerzeugnis;Dissertation der Uni Freiburg Ue.;PK 132;Freiburg;Buch- und Verlagsdruckerei;1969;HSB01duplicate;997342;125491;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=125491;;
Härtl-Watters Gregory;0;0;International Leasing. A guide to the Taxation of Cross-Border equipment Leasing;0;0;0;-;104;Druckerzeugnis;International Tax Review Suppl. February 1992;LC 6116;London;Euromoney;1992;leave;997348;;;;;;
Gassner Hans-Werner;0;0;Rechnungslegung in Liechtenstein;0;0;0;0;459;Druckerzeugnis;Entwicklung eines Vorschlages für die Neuordnung der Rechnungslegung im Rahmen einer künftigen Revision des liechtensteinischen Personen- und Gesellschaftsrechtes Diss. Nr. 1112 der HSG;PE 1021;Schaan;Gutenberg AG;1989;HSB01duplicate;997353;16878;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=16878;;
Margairaz André;Merkli Roger;0;L'impositions des sociétés anonymes en Suisse;0;0;0;0;160;Druckerzeugnis;Aspects et problèmes fiscaux fédéraux et contonaux;PK 156 1.1;Bern;Cosmos;1978;leave;997361;;;;;;
Tomfohrde Klaus;0;0;Die dynamische Bilanzauffassung und das Bilanzsteuerrecht;0;0;0;-;193;Druckerzeugnis;Schriftenreihe des Instituts für Steuerrecht der Uni zu Köln, hrsg. von Armin Spitaler, Bd. 7;PE 0312;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer;1959;reimportFromSwissbib;997369;280953208;0;0;https://www.swissbib.ch/Record/280953208;;
Brönner Herbert;0;0;Die Bilanz nach Handels- und Steuerrecht;0;0;0;0;900;Druckerzeugnis;7.A.;PE 0327;Stuttgart;Schäffer;1968;HSB01duplicate;997376;148125;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=148125;;
